"Identification code",Name,"Members FTE","Lobbying cost","Interest represented","Head office","EU office","EP passes on 2025-03-07","all EP passes",Meetings,"Lobbyfacts URL"
3843982938-44,"Penta (formerly Hume Brophy)",27.75,4060000,"Advances interests of their clients","UNITED STATES",BELGIUM,22,280,37,https://www.lobbyfacts.eu/datacard/penta-formerly-hume-brophy?rid=3843982938-44
00358442856-45,"QUALCOMM Incorporated",2.95,4000000,"Promotes their own interests or the collective interests of their members","UNITED STATES",BELGIUM,3,39,67,https://www.lobbyfacts.eu/datacard/qualcomm-incorporated?rid=00358442856-45
05032108616-26,"Shell Companies",12,4000000,"Promotes their own interests or the collective interests of their members","UNITED KINGDOM",BELGIUM,7,88,132,https://www.lobbyfacts.eu/datacard/shell-companies?rid=05032108616-26
249168093596-61,"BUREAU INTERNATIONAL DE L'EDITION FRANCAISE",1,4000000,"Promotes their own interests or the collective interests of their members",FRANCE,FRANCE,,,,https://www.lobbyfacts.eu/datacard/bureau-international-de-ledition-francaise?rid=249168093596-61
4722660838-23,"European Banking Federation",11.6,4000000,"Promotes their own interests or the collective interests of their members",BELGIUM,BELGIUM,8,243,81,https://www.lobbyfacts.eu/datacard/european-banking-federation?rid=4722660838-23
959290939374-23,"EU Focus Group",12.5,3970000,"Advances interests of their clients",BELGIUM,BELGIUM,,8,2,https://www.lobbyfacts.eu/datacard/eu-focus-group?rid=959290939374-23
0745650927-75,"ExxonMobil Petroleum & Chemical",6.1,3500000,"Promotes their own interests or the collective interests of their members",BELGIUM,BELGIUM,8,73,67,https://www.lobbyfacts.eu/datacard/exxonmobil-petroleum--chemical?rid=0745650927-75
1771817758-48,"Bundesverband der Deutschen Industrie e.V.",12.7,3500000,"Promotes their own interests or the collective interests of their members",GERMANY,BELGIUM,8,131,204,https://www.lobbyfacts.eu/datacard/bundesverband-der-deutschen-industrie-ev?rid=1771817758-48
20457441380-38,"BDEW Bundesverband der Energie- und Wasserwirtschaft e. V.",13.75,3500000,"Promotes their own interests or the collective interests of their members",GERMANY,BELGIUM,7,98,31,https://www.lobbyfacts.eu/datacard/bdew-bundesverband-der-energie--und-wasserwirtschaft-e-v?rid=20457441380-38
22400601191-42,"Deutsche Industrie- und Handelskammer",22.05,3500000,"Promotes their own interests or the collective interests of their members",GERMANY,BELGIUM,13,245,90,https://www.lobbyfacts.eu/datacard/deutsche-industrie--und-handelskammer?rid=22400601191-42
311194252688-22,"Watch & Jewellery Initiative 2030",0.3,3500000,"Promotes their own interests or the collective interests of their members",SWITZERLAND,SWITZERLAND,,,,https://www.lobbyfacts.eu/datacard/watch--jewellery-initiative-2030?rid=311194252688-22
38235121060-73,"Dow Europe GmbH",6.3,3500000,"Promotes their own interests or the collective interests of their members",SWITZERLAND,BELGIUM,4,44,82,https://www.lobbyfacts.eu/datacard/dow-europe-gmbh?rid=38235121060-73
71398235851-66,"Ordem dos Solicitadores e dos Agentes de Execução",1.25,3500000,"Promotes their own interests or the collective interests of their members",PORTUGAL,PORTUGAL,,,,https://www.lobbyfacts.eu/datacard/ordem-dos-solicitadores-e-dos-agentes-de-execução?rid=71398235851-66
81995781088-41,"APCO Worldwide",62,3185000,"Advances interests of their clients","UNITED STATES",BELGIUM,34,435,26,https://www.lobbyfacts.eu/datacard/apco-worldwide?rid=81995781088-41
85679286747-21,"Acumen Public Affairs",27.5,3050000,"Advances interests of their clients",BELGIUM,BELGIUM,40,313,6,https://www.lobbyfacts.eu/datacard/acumen-public-affairs?rid=85679286747-21
26255464458-25,"Brunswick Group Limited srl",7.55,3025000,"Advances interests of their clients",BELGIUM,BELGIUM,22,287,38,https://www.lobbyfacts.eu/datacard/brunswick-group-limited-srl?rid=26255464458-25
31367501249-92,"EPPA SA",32.5,3020000,"Advances interests of their clients",BELGIUM,BELGIUM,22,176,24,https://www.lobbyfacts.eu/datacard/eppa-sa?rid=31367501249-92
0764199368-97,"Bundesverband deutscher Banken e.V.",15.25,3000000,"Promotes their own interests or the collective interests of their members",GERMANY,BELGIUM,5,41,92,https://www.lobbyfacts.eu/datacard/bundesverband-deutscher-banken-ev?rid=0764199368-97
0767788931-41,"Bundesverband Öffentlicher Banken Deutschlands eV",19.25,3000000,"Promotes their own interests or the collective interests of their members",GERMANY,BELGIUM,4,57,29,https://www.lobbyfacts.eu/datacard/bundesverband-öffentlicher-banken-deutschlands-ev?rid=0767788931-41
1849405799-88,"TotalEnergies SE",4.35,3000000,"Promotes their own interests or the collective interests of their members",FRANCE,BELGIUM,7,94,66,https://www.lobbyfacts.eu/datacard/totalenergies-se?rid=1849405799-88
2427500988-58,"British American Tobacco",2.9,3000000,"Promotes their own interests or the collective interests of their members","UNITED KINGDOM",BELGIUM,9,94,4,https://www.lobbyfacts.eu/datacard/british-american-tobacco?rid=2427500988-58
4266797770-31,"Siemens AG",7.75,3000000,"Promotes their own interests or the collective interests of their members",GERMANY,BELGIUM,8,135,95,https://www.lobbyfacts.eu/datacard/siemens-ag?rid=4266797770-31
52646912360-95,"Die Deutsche Kreditwirtschaft",15.25,3000000,"Promotes their own interests or the collective interests of their members",GERMANY,BELGIUM,,,3,https://www.lobbyfacts.eu/datacard/die-deutsche-kreditwirtschaft?rid=52646912360-95
64270747023-20,DIGITALEUROPE,25.25,3000000,"Promotes their own interests or the collective interests of their members",BELGIUM,BELGIUM,30,207,208,https://www.lobbyfacts.eu/datacard/digitaleurope?rid=64270747023-20
705898650654-63,"Global Feedback Limited",0.2,3000000,"Promotes their own interests or the collective interests of their members","UNITED KINGDOM","UNITED KINGDOM",,,,https://www.lobbyfacts.eu/datacard/global-feedback-limited?rid=705898650654-63
92545571128-74,"European Transport Workers' Federation",23,3000000,"Promotes their own interests or the collective interests of their members",BELGIUM,BELGIUM,13,169,62,https://www.lobbyfacts.eu/datacard/european-transport-workers-federation?rid=92545571128-74
58746194306-23,"FIPRA International SRL",71,2975000,"Advances interests of their clients",BELGIUM,BELGIUM,39,470,66,https://www.lobbyfacts.eu/datacard/fipra-international-srl?rid=58746194306-23
3373670692-24,"European Fund and Asset Management Association",12.9,2750000,"Promotes their own interests or the collective interests of their members",BELGIUM,BELGIUM,7,132,18,https://www.lobbyfacts.eu/datacard/european-fund-and-asset-management-association?rid=3373670692-24
6437280268-55,"Gesamtverband der Deutschen Versicherungswirtschaft e.V.",13.75,2750000,"Promotes their own interests or the collective interests of their members",GERMANY,BELGIUM,7,108,58,https://www.lobbyfacts.eu/datacard/gesamtverband-der-deutschen-versicherungswirtschaft-ev?rid=6437280268-55
6504541970-40,"Volkswagen Aktiengesellschaft",16,2750000,"Promotes their own interests or the collective interests of their members",GERMANY,BELGIUM,4,54,115,https://www.lobbyfacts.eu/datacard/volkswagen-aktiengesellschaft?rid=6504541970-40
52836621780-65,"Weber Shandwick",20.25,2625000,"Advances interests of their clients",BELGIUM,BELGIUM,11,201,24,https://www.lobbyfacts.eu/datacard/weber-shandwick?rid=52836621780-65
0223480577-59,"International Capital Market Association",7.7,2500000,"Promotes their own interests or the collective interests of their members",SWITZERLAND,BELGIUM,,5,25,https://www.lobbyfacts.eu/datacard/international-capital-market-association?rid=0223480577-59
22330076571-75,"Bundesverband der Deutschen Volksbanken und Raiffeisenbanken",11.15,2500000,"Promotes their own interests or the collective interests of their members",GERMANY,BELGIUM,5,21,30,https://www.lobbyfacts.eu/datacard/bundesverband-der-deutschen-volksbanken-und-raiffeisenbanken?rid=22330076571-75
316132422919-70,RailNetEurope,46,2500000,"Promotes their own interests or the collective interests of their members",AUSTRIA,AUSTRIA,,,1,https://www.lobbyfacts.eu/datacard/railneteurope?rid=316132422919-70
4447605981-76,"Equinor ASA",5.4,2500000,"Promotes their own interests or the collective interests of their members",NORWAY,BELGIUM,5,61,82,https://www.lobbyfacts.eu/datacard/equinor-asa?rid=4447605981-76
649681552011-31,"FIWARE Foundation",0.5,2500000,"Promotes their own interests or the collective interests of their members",GERMANY,GERMANY,,,,https://www.lobbyfacts.eu/datacard/fiware-foundation?rid=649681552011-31
72760517350-57,"E.ON SE",9.55,2500000,"Promotes their own interests or the collective interests of their members",GERMANY,BELGIUM,6,75,50,https://www.lobbyfacts.eu/datacard/eon-se?rid=72760517350-57
8999533555-91,"Robert Bosch GmbH",14.05,2500000,"Promotes their own interests or the collective interests of their members",GERMANY,BELGIUM,5,52,78,https://www.lobbyfacts.eu/datacard/robert-bosch-gmbh?rid=8999533555-91
9765362691-45,"Verband Deutscher Maschinen- und Anlagenbau e.V.",13.75,2500000,"Promotes their own interests or the collective interests of their members",GERMANY,BELGIUM,3,37,51,https://www.lobbyfacts.eu/datacard/verband-deutscher-maschinen--und-anlagenbau-ev?rid=9765362691-45
23020671103-67,"SEC NEWGATE EU",24.5,2330000,"Advances interests of their clients",BELGIUM,BELGIUM,12,177,12,https://www.lobbyfacts.eu/datacard/sec-newgate-eu?rid=23020671103-67
712987314570-57,"Hanover Communications International",18.35,2310000,"Advances interests of their clients",BELGIUM,BELGIUM,7,135,7,https://www.lobbyfacts.eu/datacard/hanover-communications-international?rid=712987314570-57
3183894853-03,"Hill & Knowlton International Belgium",15,2255000,"Advances interests of their clients",BELGIUM,BELGIUM,6,172,18,https://www.lobbyfacts.eu/datacard/hill--knowlton-international-belgium?rid=3183894853-03
002278013515-26,Uber,3.75,2250000,"Promotes their own interests or the collective interests of their members",NETHERLANDS,BELGIUM,1,22,87,https://www.lobbyfacts.eu/datacard/uber?rid=002278013515-26
10405322962-08,"Wirtschaftskammer Österreich",16,2250000,"Promotes their own interests or the collective interests of their members",AUSTRIA,BELGIUM,1,2,64,https://www.lobbyfacts.eu/datacard/wirtschaftskammer-österreich?rid=10405322962-08
200655451889-87,"EEIG ERTMS Users Group",7.5,2250000,"Promotes their own interests or the collective interests of their members",BELGIUM,BELGIUM,,,,https://www.lobbyfacts.eu/datacard/eeig-ertms-users-group?rid=200655451889-87
3394026642-58,"BP p.l.c.",7.95,2250000,"Promotes their own interests or the collective interests of their members","UNITED KINGDOM",BELGIUM,7,71,63,https://www.lobbyfacts.eu/datacard/bp-plc?rid=3394026642-58
3830179837-87,"McDonald’s Global Franchising Limited",1.45,2250000,"Promotes their own interests or the collective interests of their members","UNITED KINGDOM",BELGIUM,3,16,11,https://www.lobbyfacts.eu/datacard/mcdonald’s-global-franchising-limited?rid=3830179837-87
390498234996-75,"KONE Corporation",9.95,2250000,"Promotes their own interests or the collective interests of their members",FINLAND,FINLAND,,,4,https://www.lobbyfacts.eu/datacard/kone-corporation?rid=390498234996-75
5149794935-37,"Fédération Française de l'Assurance",10.75,2250000,"Promotes their own interests or the collective interests of their members",FRANCE,BELGIUM,7,83,15,https://www.lobbyfacts.eu/datacard/fédération-française-de-lassurance?rid=5149794935-37
51925911965-76,"Philip Morris International Inc.",3.1,2250000,"Promotes their own interests or the collective interests of their members",SWITZERLAND,BELGIUM,5,88,9,https://www.lobbyfacts.eu/datacard/philip-morris-international-inc?rid=51925911965-76
5749958415-41,"Confederation of Danish Industry",10.55,2250000,"Promotes their own interests or the collective interests of their members",DENMARK,BELGIUM,10,126,51,https://www.lobbyfacts.eu/datacard/confederation-of-danish-industry?rid=5749958415-41
77659588648-75,"Hydrogen Europe",13.85,2250000,"Promotes their own interests or the collective interests of their members",BELGIUM,BELGIUM,11,47,80,https://www.lobbyfacts.eu/datacard/hydrogen-europe?rid=77659588648-75
522122412613-18,NOVE,15,2205000,"Advances interests of their clients",BELGIUM,BELGIUM,28,244,23,https://www.lobbyfacts.eu/datacard/nove?rid=522122412613-18
54210841652-13,"Forward Global",10.5,2025000,"Advances interests of their clients",BELGIUM,BELGIUM,14,85,56,https://www.lobbyfacts.eu/datacard/forward-global?rid=54210841652-13
05503341949-54,"Allianz SE",5,2000000,"Promotes their own interests or the collective interests of their members",GERMANY,BELGIUM,4,70,38,https://www.lobbyfacts.eu/datacard/allianz-se?rid=05503341949-54
09245221105-30,"Fédération bancaire française",12.25,2000000,"Promotes their own interests or the collective interests of their members",FRANCE,BELGIUM,4,58,110,https://www.lobbyfacts.eu/datacard/fédération-bancaire-française?rid=09245221105-30
11362308587-10,Euroseeds,13,2000000,"Promotes their own interests or the collective interests of their members",BELGIUM,BELGIUM,6,39,11,https://www.lobbyfacts.eu/datacard/euroseeds?rid=11362308587-10
114467111412-38,"Huawei Technologies",11,2000000,"Promotes their own interests or the collective interests of their members",CHINA,BELGIUM,9,90,76,https://www.lobbyfacts.eu/datacard/huawei-technologies?rid=114467111412-38
19227706301-14,Concawe,8.75,2000000,"Promotes their own interests or the collective interests of their members",BELGIUM,BELGIUM,,,3,https://www.lobbyfacts.eu/datacard/concawe?rid=19227706301-14
2349218828-41,"Mercedes-Benz Group AG",6.15,2000000,"Promotes their own interests or the collective interests of their members",GERMANY,BELGIUM,2,61,67,https://www.lobbyfacts.eu/datacard/mercedes-benz-group-ag?rid=2349218828-41
24967486965-09,"European Mortgage Federation - European Covered Bond Council",9,2000000,"Promotes their own interests or the collective interests of their members",BELGIUM,BELGIUM,,78,9,https://www.lobbyfacts.eu/datacard/european-mortgage-federation---european-covered-bond-council?rid=24967486965-09
271912611231-56,"Deutsche Bank AG",3.9,2000000,"Promotes their own interests or the collective interests of their members",GERMANY,BELGIUM,4,45,131,https://www.lobbyfacts.eu/datacard/deutsche-bank-ag?rid=271912611231-56
39966101835-69,"ELECTRICITE DE FRANCE",8.95,2000000,"Promotes their own interests or the collective interests of their members",FRANCE,BELGIUM,9,112,103,https://www.lobbyfacts.eu/datacard/electricite-de-france?rid=39966101835-69
40471017282-57,"Samsung Electronics Europe",10,2000000,"Promotes their own interests or the collective interests of their members","UNITED KINGDOM",BELGIUM,9,75,41,https://www.lobbyfacts.eu/datacard/samsung-electronics-europe?rid=40471017282-57
46643241096-93,"International Swaps and Derivatives Association",4,2000000,"Promotes their own interests or the collective interests of their members","UNITED STATES",BELGIUM,2,35,22,https://www.lobbyfacts.eu/datacard/international-swaps-and-derivatives-association?rid=46643241096-93
48544465107-88,"DHL Group",7.5,2000000,"Promotes their own interests or the collective interests of their members",GERMANY,BELGIUM,6,94,51,https://www.lobbyfacts.eu/datacard/dhl-group?rid=48544465107-88
52431421-12,"Telefonica, S.A.",5.5,2000000,"Promotes their own interests or the collective interests of their members",SPAIN,BELGIUM,6,76,143,https://www.lobbyfacts.eu/datacard/telefonica-sa?rid=52431421-12
71175716023-03,"JT International",5,2000000,"Promotes their own interests or the collective interests of their members",SWITZERLAND,BELGIUM,5,61,4,https://www.lobbyfacts.eu/datacard/jt-international?rid=71175716023-03
7193977808-18,"Bayerische Motoren Werke Aktiengesellschaft",8.35,2000000,"Promotes their own interests or the collective interests of their members",GERMANY,BELGIUM,6,57,99,https://www.lobbyfacts.eu/datacard/bayerische-motoren-werke-aktiengesellschaft?rid=7193977808-18
7459401905-60,"Intel Corporation",7.85,2000000,"Promotes their own interests or the collective interests of their members","UNITED STATES",BELGIUM,6,46,71,https://www.lobbyfacts.eu/datacard/intel-corporation?rid=7459401905-60
75311753240-67,"Honeywell Europe NV",2.5,2000000,"Promotes their own interests or the collective interests of their members",BELGIUM,BELGIUM,5,16,25,https://www.lobbyfacts.eu/datacard/honeywell-europe-nv?rid=75311753240-67
782141096231-43,"Cobra Advisory",1,2000000,"Advances interests of their clients",BELGIUM,BELGIUM,,,,https://www.lobbyfacts.eu/datacard/cobra-advisory?rid=782141096231-43
90947457424-20,ENGIE,4.25,2000000,"Promotes their own interests or the collective interests of their members",FRANCE,BELGIUM,6,82,103,https://www.lobbyfacts.eu/datacard/engie?rid=90947457424-20
91269481588-28,"Novartis International AG",2.75,2000000,"Promotes their own interests or the collective interests of their members",SWITZERLAND,BELGIUM,6,86,33,https://www.lobbyfacts.eu/datacard/novartis-international-ag?rid=91269481588-28
974875639237-65,"Siemens Energy AG",5.9,2000000,"Promotes their own interests or the collective interests of their members",GERMANY,BELGIUM,2,11,37,https://www.lobbyfacts.eu/datacard/siemens-energy-ag?rid=974875639237-65
34863197284-43,"POLITICAL INTELLIGENCE BRUSSELS",16.75,1820000,"Advances interests of their clients",BELGIUM,BELGIUM,18,148,9,https://www.lobbyfacts.eu/datacard/political-intelligence-brussels?rid=34863197284-43
53141413510-95,Grayling,6.5,1790000,"Advances interests of their clients",BELGIUM,BELGIUM,6,140,15,https://www.lobbyfacts.eu/datacard/grayling?rid=53141413510-95
642553231622-95,"Hague Corporate Affairs",6,1755000,"Advances interests of their clients",BELGIUM,BELGIUM,6,37,9,https://www.lobbyfacts.eu/datacard/hague-corporate-affairs?rid=642553231622-95
105450620110-21,"Orlen S.A.",9.1,1750000,"Promotes their own interests or the collective interests of their members",POLAND,POLAND,5,20,13,https://www.lobbyfacts.eu/datacard/orlen-sa?rid=105450620110-21
16094042309-21,"LVMH Publica",4,1750000,"Promotes their own interests or the collective interests of their members",FRANCE,BELGIUM,3,44,45,https://www.lobbyfacts.eu/datacard/lvmh-publica?rid=16094042309-21
18940431725-51,"F. Hoffmann-La Roche Ltd",4.95,1750000,"Promotes their own interests or the collective interests of their members",SWITZERLAND,BELGIUM,2,17,7,https://www.lobbyfacts.eu/datacard/f-hoffmann-la-roche-ltd?rid=18940431725-51
20705158207-35,"Finance Denmark",10,1750000,"Promotes their own interests or the collective interests of their members",DENMARK,BELGIUM,1,26,24,https://www.lobbyfacts.eu/datacard/finance-denmark?rid=20705158207-35
207353547395-33,"Kontomatik Sp. z o.o.",0.5,1750000,"Promotes their own interests or the collective interests of their members",POLAND,POLAND,,,1,https://www.lobbyfacts.eu/datacard/kontomatik-sp-z-oo?rid=207353547395-33
2732167674-76,Airbus,5.25,1750000,"Promotes their own interests or the collective interests of their members",NETHERLANDS,BELGIUM,3,101,321,https://www.lobbyfacts.eu/datacard/airbus?rid=2732167674-76
366427819671-47,"International Code of Conduct for Private Security Service Providers Association",8,1750000,"Promotes their own interests or the collective interests of their members",SWITZERLAND,SWITZERLAND,,,,https://www.lobbyfacts.eu/datacard/international-code-of-conduct-for-private-security-service-providers-association?rid=366427819671-47
37943526882-24,"Finance Watch",7,1750000,"Promotes their own interests or the collective interests of their members",BELGIUM,BELGIUM,7,87,33,https://www.lobbyfacts.eu/datacard/finance-watch?rid=37943526882-24
60052162589-72,"Deutsche Telekom",5.6,1750000,"Promotes their own interests or the collective interests of their members",GERMANY,BELGIUM,5,66,136,https://www.lobbyfacts.eu/datacard/deutsche-telekom?rid=60052162589-72
61291462764-77,SANOFI,1.95,1750000,"Promotes their own interests or the collective interests of their members",FRANCE,BELGIUM,4,45,36,https://www.lobbyfacts.eu/datacard/sanofi?rid=61291462764-77
62379064909-15,"Deutscher Sparkassen-und Giroverband",8,1750000,"Promotes their own interests or the collective interests of their members",GERMANY,BELGIUM,5,81,62,https://www.lobbyfacts.eu/datacard/deutscher-sparkassen-und-giroverband?rid=62379064909-15
668939195362-59,"Eurasia Group Ltd.",0.25,1750000,"Promotes their own interests or the collective interests of their members","UNITED STATES","UNITED STATES",,,2,https://www.lobbyfacts.eu/datacard/eurasia-group-ltd?rid=668939195362-59
7721359944-96,"IBM Corporation",8.25,1750000,"Promotes their own interests or the collective interests of their members","UNITED STATES",BELGIUM,8,53,149,https://www.lobbyfacts.eu/datacard/ibm-corporation?rid=7721359944-96
7749519702-29,"Bundesvereinigung der Deutschen Arbeitgeberverbände e.V.",9.35,1750000,"Promotes their own interests or the collective interests of their members",GERMANY,GERMANY,6,78,58,https://www.lobbyfacts.eu/datacard/bundesvereinigung-der-deutschen-arbeitgeberverbände-ev?rid=7749519702-29
77608353460-77,"RWE AG",6.75,1750000,"Promotes their own interests or the collective interests of their members",GERMANY,BELGIUM,3,45,47,https://www.lobbyfacts.eu/datacard/rwe-ag?rid=77608353460-77
7824139202-85,"EUROPEAN APPAREL AND TEXTILE CONFEDERATION",7.5,1750000,"Promotes their own interests or the collective interests of their members",BELGIUM,BELGIUM,8,57,27,https://www.lobbyfacts.eu/datacard/european-apparel-and-textile-confederation?rid=7824139202-85
8765978796-80,"European Savings and Retail Banking Group",11.5,1750000,"Promotes their own interests or the collective interests of their members",BELGIUM,BELGIUM,17,144,22,https://www.lobbyfacts.eu/datacard/european-savings-and-retail-banking-group?rid=8765978796-80
90142503473-81,"Vodafone Belgium SA",8,1750000,"Promotes their own interests or the collective interests of their members",BELGIUM,BELGIUM,7,67,182,https://www.lobbyfacts.eu/datacard/vodafone-belgium-sa?rid=90142503473-81
915519211566-03,"Associazione Bancaria Italiana",6.25,1750000,"Promotes their own interests or the collective interests of their members",ITALY,BELGIUM,5,59,53,https://www.lobbyfacts.eu/datacard/associazione-bancaria-italiana?rid=915519211566-03
923424020779-19,"Rasmussen Global",9.25,1750000,"Advances interests of their clients",DENMARK,BELGIUM,10,51,48,https://www.lobbyfacts.eu/datacard/rasmussen-global?rid=923424020779-19
925995939257-35,#SustainablePublicAffairs,22,1745000,"Advances interests of their clients",BELGIUM,BELGIUM,21,74,8,https://www.lobbyfacts.eu/datacard/sustainablepublicaffairs?rid=925995939257-35
